mobility_model,cmr,seed,scheme,total_cost
fluid_flow,5.0,1001,Static Time-based,24319.0
fluid_flow,5.0,1001,AM-RL-LU (Q-learning),31795.0
fluid_flow,5.0,1001,AM-RL-LU (DQN),27467.0
fluid_flow,5.0,1002,Static Movement-based,25055.0
fluid_flow,5.0,1002,Static Distance-based,25055.0
fluid_flow,5.0,1002,Static Time-based,25495.0
fluid_flow,5.0,1002,AM-RL-LU (Q-learning),33519.0
fluid_flow,5.0,1002,AM-RL-LU (DQN),29099.0
fluid_flow,5.0,1003,Static Movement-based,24265.0
fluid_flow,5.0,1003,Static Distance-based,24265.0
fluid_flow,5.0,1003,Static Time-based,24865.0
fluid_flow,5.0,1003,AM-RL-LU (Q-learning),34377.0
fluid_flow,5.0,1003,AM-RL-LU (DQN),28127.0
fluid_flow,5.0,1004,Static Movement-based,24587.0
fluid_flow,5.0,1004,Static Distance-based,24587.0
fluid_flow,5.0,1004,Static Time-based,25117.0
fluid_flow,5.0,1004,AM-RL-LU (Q-learning),32825.0
fluid_flow,5.0,1004,AM-RL-LU (DQN),28577.0
fluid_flow,5.0,1005,Static Movement-based,23062.0
fluid_flow,5.0,1005,Static Distance-based,23062.0
fluid_flow,5.0,1005,Static Time-based,23892.0
fluid_flow,5.0,1005,AM-RL-LU (Q-learning),30030.0
fluid_flow,5.0,1005,AM-RL-LU (DQN),26768.0
gauss_markov,0.2,1001,Static Movement-based,4480.0
gauss_markov,0.2,1001,Static Distance-based,4120.0
gauss_markov,0.2,1001,Static Time-based,5090.0
gauss_markov,0.2,1001,AM-RL-LU (Q-learning),7190.0
gauss_markov,0.2,1001,AM-RL-LU (DQN),5588.0
gauss_markov,0.2,1002,Static Movement-based,4181.0
gauss_markov,0.2,1002,Static Distance-based,3851.0
gauss_markov,0.2,1002,Static Time-based,4881.0
gauss_markov,0.2,1002,AM-RL-LU (Q-learning),6275.0
gauss_markov,0.2,1002,AM-RL-LU (DQN),5519.0
gauss_markov,0.2,1003,Static Movement-based,3739.0
gauss_markov,0.2,1003,Static Distance-based,3469.0
gauss_markov,0.2,1003,Static Time-based,4539.0
gauss_markov,0.2,1003,AM-RL-LU (Q-learning),4859.0
gauss_markov,0.2,1003,AM-RL-LU (DQN),4909.0
gauss_markov,0.2,1004,Static Movement-based,3976.0
gauss_markov,0.2,1004,Static Distance-based,3636.0
gauss_markov,0.2,1004,Static Time-based,4596.0
gauss_markov,0.2,1004,AM-RL-LU (Q-learning),10802.0
gauss_markov,0.2,1004,AM-RL-LU (DQN),5340.0
gauss_markov,0.2,1005,Static Movement-based,3702.0
gauss_markov,0.2,1005,Static Distance-based,3472.0
gauss_markov,0.2,1005,Static Time-based,4482.0
gauss_markov,0.2,1005,AM-RL-LU (Q-learning),9046.0
gauss_markov,0.2,1005,AM-RL-LU (DQN),4992.0
gauss_markov,0.5,1001,Static Movement-based,6449.0
gauss_markov,0.5,1001,Static Distance-based,6449.0
gauss_markov,0.5,1001,Static Time-based,7503.0
gauss_markov,0.5,1001,AM-RL-LU (Q-learning),21117.0
gauss_markov,0.5,1001,AM-RL-LU (DQN),6753.0
gauss_markov,0.5,1002,Static Movement-based,6266.0
gauss_markov,0.5,1002,Static Distance-based,6266.0
gauss_markov,0.5,1002,Static Time-based,7522.0
gauss_markov,0.5,1002,AM-RL-LU (Q-learning),32118.0
gauss_markov,0.5,1002,AM-RL-LU (DQN),6756.0
gauss_markov,0.5,1003,Static Movement-based,5961.0
gauss_markov,0.5,1003,Static Distance-based,5961.0
gauss_markov,0.5,1003,Static Time-based,7237.0
gauss_markov,0.5,1003,AM-RL-LU (Q-learning),30535.0
gauss_markov,0.5,1003,AM-RL-LU (DQN),6089.0
gauss_markov,0.5,1004,Static Movement-based,6331.0
gauss_markov,0.5,1004,Static Distance-based,6277.0
gauss_markov,0.5,1004,Static Time-based,7237.0
gauss_markov,0.5,1004,AM-RL-LU (Q-learning),36475.0
gauss_markov,0.5,1004,AM-RL-LU (DQN),6547.0
gauss_markov,0.5,1005,Static Movement-based,5882.0
gauss_markov,0.5,1005,Static Distance-based,5882.0
gauss_markov,0.5,1005,Static Time-based,6914.0
gauss_markov,0.5,1005,AM-RL-LU (Q-learning),23586.0
gauss_markov,0.5,1005,AM-RL-LU (DQN),6056.0
gauss_markov,1.0,1001,Static Movement-based,8157.0
gauss_markov,1.0,1001,Static Distance-based,8157.0
gauss_markov,1.0,1001,Static Time-based,9367.0
gauss_markov,1.0,1001,AM-RL-LU (Q-learning),20723.0
gauss_markov,1.0,1001,AM-RL-LU (DQN),9049.0
gauss_markov,1.0,1002,Static Movement-based,7694.0
gauss_markov,1.0,1002,Static Distance-based,7694.0
gauss_markov,1.0,1002,Static Time-based,9094.0
gauss_markov,1.0,1002,AM-RL-LU (Q-learning),22546.0
gauss_markov,1.0,1002,AM-RL-LU (DQN),8598.0
gauss_markov,1.0,1003,Static Movement-based,7613.0
gauss_markov,1.0,1003,Static Distance-based,7613.0
gauss_markov,1.0,1003,Static Time-based,9213.0
gauss_markov,1.0,1003,AM-RL-LU (Q-learning),15277.0
gauss_markov,1.0,1003,AM-RL-LU (DQN),8227.0
gauss_markov,1.0,1004,Static Movement-based,7997.0
gauss_markov,1.0,1004,Static Distance-based,7997.0
gauss_markov,1.0,1004,Static Time-based,9227.0
gauss_markov,1.0,1004,AM-RL-LU (Q-learning),13723.0
